label,message
ham  ,"Ve hasta jurong point, loco.. Disponible solo en bugis n great world la e buffet... Cine allí tiene más wat..."
ham  ,Ok lar... Estoy bromeando contigo oni...
spam ,Entrada gratuita en 2 concursos semanales para ganar los boletos de la final de la FA Cup el 21 de mayo de 2005. Envíe un mensaje de texto con la palabra FA al 87121 para recibir la pregunta de inscripción (tarifa estándar de mensajes de texto). Se aplican los términos y condiciones. 08452810075 mayores de 18 años.
ham  ,No lo dijiste tan temprano... Ya lo dijiste entonces...
ham  ,"No, no creo que vaya a la USF, aunque vive por aquí."
spam ,"FreeMsg Hola, cariño. Han pasado 3 semanas y no he recibido noticias. Me gustaría divertirme un poco. ¿Todavía estás dispuesta a hacerlo? ¡De acuerdo! XxX cargos estándar por envío, £1,50 por rv"
ham  ,Ni siquiera mi hermano quiere hablar conmigo. Me tratan como si fuera un paciente con SIDA.
ham  ,"Según tu pedido, se ha establecido 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' como tu tono de llamada para todos los que te llamen. Pulsa *9 para copiar el tono de llamada de tus amigos."
spam ,"¡GANADOR! Como valioso cliente de la red, ha sido seleccionado para recibir un premio de £900. Para reclamarlo, llame al 09061701461. Código de solicitud KL341. Válido solo durante 12 horas."
spam ,¿Tienes tu móvil desde hace 11 meses o más? ¡Tienes derecho a actualizarlo a los últimos móviles en color con cámara de forma gratuita! Llama a The Mobile Update Co GRATIS al 08002986030
ham  ,"Estaré en casa pronto y no quiero hablar más de estas cosas esta noche, ¿vale? Ya lloré bastante hoy."
spam ,"¡SEIS oportunidades de ganar DINERO EN EFECTIVO! Desde 100 hasta 20 000 libras, envía un mensaje de texto a CSH11 y mándalo al 87575. Cuesta 150 peniques al día, 6 días, se aplican más de 16 condiciones. Responder Información de HL 4"
spam ,"¡URGENTE! ¡Ha ganado una membresía GRATUITA de 1 semana en nuestro premio mayor de £100,000! Envíe un mensaje de texto con la palabra: CLAIM al n.° 81010 Términos y condiciones www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham  ,He estado buscando las palabras adecuadas para agradecerte este respiro. Prometo que no daré por sentada tu ayuda y cumpliré mi promesa. Has sido maravilloso y una bendición en todo momento.
ham  ,¡¡¡TENGO UNA CITA EL DOMINGO CON WILL!!!
spam ,"XXXMobileMovieClub: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje de texto o haga clic aquí >> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham  ,Oh k...estoy mirando aquí:)
ham  ,"¿Eh? ¿Recuerdas cómo se escribe su nombre? Sí, lo hice. Se portó muy mal hasta que me mojé."
ham  ,Está bien si así es como te sientes. Así es como se ha vuelto.
spam ,"Inglaterra vs Macedonia: no te pierdas los goles ni las noticias del equipo. Envía un mensaje de texto con tu selección nacional al 87077, por ejemplo, INGLATERRA al 87077. Intenta: GALES, ESCOCIA 4 mensajes de texto/ú1.20 POBOXox36504W45WQ 16+"
ham  ,¿En serio así es como se escribe su nombre?
ham  ,Voy a intentarlo durante 2 meses jajaja solo estoy bromeando
ham  ,"Entonces paga primero lar... Entonces, ¿cuándo llegará el stock...?"
ham  ,"Después de terminar mi almuerzo, me voy a la cama. Necesito algo. ¿Ya terminaste tu almuerzo?"
ham  ,"Fffffffffff. Está bien, ¿no hay forma de que pueda reunirme contigo antes?"
ham  ,Me acabo de obligar a comer una porción. Pero no tengo hambre. Esto apesta. Mark se está preocupando. Sabe que estoy enferma cuando rechazo la pizza. Jajaja
ham  ,"Jaja, siempre eres tan convincente."
ham  ,¿Has cogido el autobús? ¿Estás friendo un huevo? ¿Has hecho un té? ¿Estás comiendo las sobras de la cena de tu madre? ¿Sientes mi amor?
ham  ,"Ya volví y estamos empacando el auto ahora, te avisaré si hay espacio."
ham  ,Ahhh. Trabajar. ¡Lo recuerdo vagamente! ¿Qué se siente? Jaja
ham  ,"Espera, eso aún no está del todo claro. ¿No estabas seguro de que yo fuera sarcástico o de que por eso x no quiere vivir con nosotros?"
ham  ,"Sí, llegó a las 2 y se disculpó muchísimo. Se había peleado con ella y se estaba comportando como una niña malcriada y él se vio envuelto en eso. ¡Hasta las 2! ¡Pero no vamos a hablar de eso! No me está yendo tan mal, gracias. ¿Y tú?"
ham  ,K cuéntame algo sobre ti
ham  ,"¿Por miedo a desmayarte con todas las tareas domésticas que acabas de hacer? Rápido, tómate una taza de té."
spam ,"Gracias por suscribirse a Ringtone UK, se le cobrará £5 por mes a su teléfono móvil. Confirme respondiendo SÍ o NO. Si responde NO, no se le cobrará nada."
ham  ,"Sí... Ok, voy a casa, miro los horarios y luego le envío un mensaje de nuevo... Xuhui también va a aprender el 2 de mayo, pero su lección es a las 8 a. m."
ham  ,"Ups, te avisaré cuando mi compañero de cuarto haya terminado."
ham  ,Veo la letra B en mi coche
ham  ,Cualquier cosa...tú decides...
