label,message
ham  ,"Vá até o ponto de Jurong, louco. Disponível apenas no Bugis n Great World La E Buffet... Cine lá tem Amore Wat..."
ham  ,"Ok, lar... Brincando com vc..."
spam ,Entrada gratuita em 2 competições semanais para vencer a final da FA Cup em 21 de maio de 2005. Envie uma mensagem de texto com FA para 87121 para receber a pergunta sobre a inscrição (taxa de txt padrão). Os T&Cs se aplicam 08452810075 maiores de 18 anos
ham  ,Você não disse tão cedo... Você já disse então...
ham  ,"Não, acho que ele não estuda na USF, mas ele mora por aqui"
spam ,"FreeMsg Olá, querida, já faz 3 semanas e nenhuma resposta! Eu gostaria de me divertir um pouco, você ainda está a fim? Tb ok! XxX alterações padrão para enviar, £ 1,50 para rcv"
ham  ,Até meu irmão não gosta de falar comigo. Eles me tratam como se eu tivesse AIDS.
ham  ,"Conforme sua solicitação, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definido como sua melodia de chamada para todos os chamadores. Pressione *9 para copiar a melodia de chamada de seus amigos"
spam ,"VENCEDOR!! Como um cliente valioso da rede, você foi selecionado para receber um prêmio de £ 900! Para reivindicar, ligue para 09061701461. Código de reivindicação KL341. Válido por apenas 12 horas."
spam ,Seu celular tem 11 meses ou mais? Você tem direito a atualizar para os últimos celulares coloridos com câmera de graça! Ligue para a Mobile Update Co GRÁTIS em 08002986030
ham  ,"Vou voltar para casa logo e não quero mais falar sobre essas coisas hoje à noite, ok? Já chorei o suficiente hoje."
spam ,"SEIS chances de ganhar DINHEIRO! De 100 a 20.000 libras txt> CSH11 e envie para 87575. Custo 150p/dia, 6 dias, 16+ TsandCs aplicáveis Responder HL 4 info"
spam ,URGENTE! Você ganhou uma assinatura GRATUITA de 1 semana no nosso Jackpot de Prêmio de £ 100.000! Envie a palavra por SMS: REIVINDIQUE para o número: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham  ,Tenho procurado as palavras certas para agradecer por esse respiro. Prometo que não vou menosprezar sua ajuda e cumprirei minha promessa. Você tem sido maravilhoso e uma bênção em todos os momentos.
ham  ,TENHO UM ENCONTRO NO DOMINGO COM O WILL!!
spam ,"XXXMobileMovieClub: Para usar seu crédito, clique no link WAP na próxima mensagem de texto ou clique aqui >> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham  ,"Ah, ok...estou assistindo aqui:)"
ham  ,"Eh, você lembra como soletrar o nome dele... Sim, eu lembro. Ele é muito safado, até eu ficar molhada."
ham  ,Tudo bem se é assim que você se sente. É assim que é gota b
spam ,"Inglaterra x Macedônia - não perca os gols/notícias do time. Envie sua seleção nacional para 87077, por exemplo, INGLATERRA para 87077 Tente: GALES, ESCÓCIA 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham  ,É sério que é assim que se escreve o nome dele?
ham  ,Vou tentar por 2 meses ha ha só brincadeira
ham  ,Então você paga primeiro... Então quando o estoque vai chegar...
ham  ,"Depois que termino meu almoço, vou para a rua. São 3 horas. Você já terminou seu almoço?"
ham  ,"Fffffffffff. Tudo bem, não tem como eu me encontrar com você antes?"
ham  ,Acabei de me forçar a comer uma fatia. Mas não estou com fome. Isso é uma droga. Mark está ficando preocupado. Ele sabe que estou doente quando recuso pizza. Kkkk
ham  ,Kkkk você é sempre tão convincente.
ham  ,Você pegou o ônibus? Você está fritando um ovo? Você fez um chá? Você está comendo o que sobrou do jantar da sua mãe? Você sente meu amor?
ham  ,"Estou de volta e estamos arrumando as malas no carro agora, te aviso se tiver espaço"
ham  ,Ahhh. Trabalho. Eu me lembro vagamente disso! Qual é a sensação? Kkkk
ham  ,"Espera, isso ainda não está tão claro, você não tinha certeza de que eu estava sendo sarcástico ou que é por isso que x não quer morar conosco"
ham  ,"Sim, ele entrou às 2 e se desculpou muito. N tinha brigado e ela estava agindo como uma criança mimada e ele se envolveu nisso. Até as 2! Mas não vamos por aí! Não está indo tão mal, vivas. Você?"
ham  ,K me conte algo sobre você.
ham  ,Com medo de desmaiar com todo aquele trabalho doméstico que você acabou de fazer? Tome uma xícara de chá rápido
spam ,"Obrigado por sua assinatura do Ringtone UK, seu celular será cobrado £ 5/mês. Por favor, confirme respondendo SIM ou NÃO. Se você responder NÃO, você não será cobrado."
ham  ,"Sim... Ok, vou para casa, olho os horários e mando mensagem de novo... Xuhui vai aprender no dia 2 de maio também, mas a aula dela é às 8h."
ham  ,"Opa, te aviso quando meu colega de quarto terminar"
ham  ,Eu vejo a letra B no meu carro
ham  ,Qualquer coisa... Você decide...
ham  ,Olá! Como vai você e como foi o sábado? Só estava mandando mensagem para saber se você decidiu fazer alguma coisa amanhã. Não que eu esteja tentando me convidar ou algo assim!
ham  ,"Por favor, continue com watts. Eu só queria ter certeza. Tenha um ótimo final de semana. Abiola"
ham  ,"Eu esqueci de te dizer? Eu quero você, eu preciso de você, eu desejo você... Mas acima de tudo... Eu te amo meu doce corcel árabe... Mmmmmm... Delicioso"
spam ,07732584351 - Rodger Burns - MSG = Tentamos ligar para você em resposta à nossa mensagem de texto para um celular Nokia grátis + uma filmadora grátis. Ligue agora para 08000930705 para entrega amanhã
ham  ,QUEM VOCÊ ESTÁ SAINDO?
ham  ,Ótimo! Espero que você goste do seu homem bem dotado. Eu tenho &lt;#&gt; polegadas...
ham  ,Nenhuma chamada...mensagens...chamadas perdidas
ham  ,Você não recebeu imunização contra hepatite B na Nigéria?
ham  ,"Tudo bem, aconteceu alguma coisa?"
ham  ,"Sim, espero que, se Tyler não puder fazer isso, eu possa perguntar um pouco."
