label,message,processed_text,language
ham  ,"Vá até o ponto de Jurong, louco. Disponível apenas no Bugis n Great World La E Buffet... Cine lá tem Amore Wat...",v at pont jurong louc disponvel apen bug n great world la buffet cin l amor wat,portuguese
ham  ,"Ok, lar... Brincando com vc...",ok lar brinc vc,portuguese
spam ,Entrada gratuita em 2 competições semanais para vencer a final da FA Cup em 21 de maio de 2005. Envie uma mensagem de texto com FA para 87121 para receber a pergunta sobre a inscrição (taxa de txt padrão). Os T&Cs se aplicam 08452810075 maiores de 18 anos,entrad gratuit competi seman venc final fa cup mai envi mensag text fa receb pergunt sobr inscri tax txt padr tcs aplic maior anos,portuguese
ham  ,Você não disse tão cedo... Você já disse então...,voc diss to ced voc j diss ento,portuguese
ham  ,"Não, acho que ele não estuda na USF, mas ele mora por aqui",acho estud usf mor aqu,portuguese
spam ,"FreeMsg Olá, querida, já faz 3 semanas e nenhuma resposta! Eu gostaria de me divertir um pouco, você ainda está a fim? Tb ok! XxX alterações padrão para enviar, £ 1,50 para rcv",freemsg ol quer j faz seman nenhum respost gost divert pouc voc aind est fim tb ok xxx altera padr envi rcv,portuguese
ham  ,Até meu irmão não gosta de falar comigo. Eles me tratam como se eu tivesse AIDS.,at irmo gost fal comig trat aids,portuguese
ham  ,"Conforme sua solicitação, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definido como sua melodia de chamada para todos os chamadores. Pressione *9 para copiar a melodia de chamada de seus amigos",conform solicita mell mell oru minnaminungint nurungu vett defin melod cham tod chamador pression copi melod cham amig,portuguese
spam ,"VENCEDOR!! Como um cliente valioso da rede, você foi selecionado para receber um prêmio de £ 900! Para reivindicar, ligue para 09061701461. Código de reivindicação KL341. Válido por apenas 12 horas.",vencedor client valios red voc selecion receb prmi reivindic lig cdig reivindica kl vlid apen hor,portuguese
spam ,Seu celular tem 11 meses ou mais? Você tem direito a atualizar para os últimos celulares coloridos com câmera de graça! Ligue para a Mobile Update Co GRÁTIS em 08002986030,celul mes voc direit atualiz ltim celul color cmer gra lig mobil updat co grtis,portuguese
ham  ,"Vou voltar para casa logo e não quero mais falar sobre essas coisas hoje à noite, ok? Já chorei o suficiente hoje.",vou volt cas log quer fal sobr cois hoj noit ok j chor suficient hoj,portuguese
spam ,"SEIS chances de ganhar DINHEIRO! De 100 a 20.000 libras txt> CSH11 e envie para 87575. Custo 150p/dia, 6 dias, 16+ TsandCs aplicáveis Responder HL 4 info",seis chanc ganh dinheir libr txt csh envi cust pdi dias tsandcs aplicv respond hl info,portuguese
spam ,URGENTE! Você ganhou uma assinatura GRATUITA de 1 semana no nosso Jackpot de Prêmio de £ 100.000! Envie a palavra por SMS: REIVINDIQUE para o número: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,urgent voc ganh assinatur gratuit seman jackpot prmi envi palavr sms reivindiqu nmer tc lccltd pobox ldnwarw,portuguese
ham  ,Tenho procurado as palavras certas para agradecer por esse respiro. Prometo que não vou menosprezar sua ajuda e cumprirei minha promessa. Você tem sido maravilhoso e uma bênção em todos os momentos.,procur palavr cert agradec respir promet vou menosprez ajud cumpr promess voc sid maravilh bno tod moment,portuguese
ham  ,TENHO UM ENCONTRO NO DOMINGO COM O WILL!!,encontr doming will,portuguese
spam ,"XXXMobileMovieClub: Para usar seu crédito, clique no link WAP na próxima mensagem de texto ou clique aqui >> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub usar crdit cliqu link wap prxim mensag text cliqu aqu,portuguese
ham  ,"Ah, ok...estou assistindo aqui:)",ah okest assist aqu,portuguese
ham  ,"Eh, você lembra como soletrar o nome dele... Sim, eu lembro. Ele é muito safado, até eu ficar molhada.",eh voc lembr soletr nom sim lembr saf at fic molh,portuguese
ham  ,Tudo bem se é assim que você se sente. É assim que é gota b,tud bem assim voc sent assim got b,portuguese
spam ,"Inglaterra x Macedônia - não perca os gols/notícias do time. Envie sua seleção nacional para 87077, por exemplo, INGLATERRA para 87077 Tente: GALES, ESCÓCIA 4txt/ú1.20 POBOXox36504W45WQ 16+",inglaterr x macedn perc golsnotc tim envi sel nacional exempl inglaterr tent gal escci txt poboxoxwwq,portuguese
ham  ,É sério que é assim que se escreve o nome dele?,sri assim escrev nom,portuguese
ham  ,Vou tentar por 2 meses ha ha só brincadeira,vou tent mes ha ha s brincadeir,portuguese
ham  ,Então você paga primeiro... Então quando o estoque vai chegar...,ento voc pag primeir ento estoqu vai cheg,portuguese
ham  ,"Depois que termino meu almoço, vou para a rua. São 3 horas. Você já terminou seu almoço?",termin almo vou rua so hor voc j termin almo,portuguese
ham  ,"Fffffffffff. Tudo bem, não tem como eu me encontrar com você antes?",fffffffffff tud bem encontr voc antes,portuguese
ham  ,Acabei de me forçar a comer uma fatia. Mas não estou com fome. Isso é uma droga. Mark está ficando preocupado. Ele sabe que estou doente quando recuso pizza. Kkkk,acab for com fat fom drog mark est fic preocup sab doent recus pizz kkkk,portuguese
ham  ,Kkkk você é sempre tão convincente.,kkkk voc sempr to convincent,portuguese
ham  ,Você pegou o ônibus? Você está fritando um ovo? Você fez um chá? Você está comendo o que sobrou do jantar da sua mãe? Você sente meu amor?,voc peg nibus voc est frit ovo voc fez ch voc est com sobr jant voc sent amor,portuguese
ham  ,"Estou de volta e estamos arrumando as malas no carro agora, te aviso se tiver espaço",volt arrum mal carr agor avis espa,portuguese
ham  ,Ahhh. Trabalho. Eu me lembro vagamente disso! Qual é a sensação? Kkkk,ahhh trabalh lembr vag diss sensa kkkk,portuguese
ham  ,"Espera, isso ainda não está tão claro, você não tinha certeza de que eu estava sendo sarcástico ou que é por isso que x não quer morar conosco",esper aind est to clar voc certez send sarcstic x quer mor conosc,portuguese
